,PPZFA,PPZFA,PPZFA,PRICE,Rate,PPZFA,PRICE,PPZFA,PRICE
,mean,median,count,sum,mean,MA3,MA3,MA6,MA6
DATE,,,,,,,,,
2023-05-31,174.25,159.5,16,285851619,5.0,198.5,169070147.0,230.75166666666667,133360978.83333333
2023-06-30,206.29,145.5,34,311385530,5.0,202.92999999999998,256643894.33333334,232.73666666666668,159947187.0
2023-07-31,239.23,191.0,26,193609339,5.07,206.59,263615496.0,212.9,180428385.0
2023-08-31,189.65,191.0,20,115468282,5.25,211.72333333333333,206821050.33333334,205.11166666666668,187945598.66666666
2023-09-30,226.69,172.5,16,126589262,5.25,218.52333333333334,145222294.33333334,210.72666666666666,200933094.33333334
2023-10-31,253.07,190.5,28,376597500,5.25,223.13666666666666,206218348.0,214.86333333333334,234916922.0
2023-11-30,241.04,211.0,27,225359000,5.25,240.26666666666665,242848587.33333334,225.995,224834818.83333334
2023-12-31,354.52,338.0,21,724854926,5.25,282.8766666666666,442270475.3333333,250.70000000000002,293746384.8333333
2024-01-31,250.38,154.0,21,125764407,5.25,281.98,358659444.3333333,252.5583333333333,282438896.1666667
2024-02-29,388.24,300.0,25,450107354,5.25,331.0466666666667,433575562.3333333,285.65666666666664,338212074.8333333
2024-03-31,184.3,170.0,23,166568344,5.25,274.3066666666667,247480035.0,278.5916666666667,344875255.1666667
2024-04-30,238.2,225.5,30,362898635,5.25,270.24666666666667,326524777.6666667,276.1133333333333,342592111.0
2024-05-31,195.27,145.5,30,180423615,5.25,205.92333333333332,236630198.0,268.48499999999996,335102880.1666667
2024-06-30,197.96,169.0,27,149448650,5.25,210.4766666666667,230923633.33333334,242.39166666666665,239201834.16666666
2024-07-31,217.9,179.0,21,305178425,5.25,203.71,211683563.33333334,236.97833333333335,269104170.5
2024-08-31,223.8,203.0,15,215230000,5.25,213.22000000000003,223285691.66666666,209.5716666666667,229957944.83333334
